ptp,rt,response,time_elapsed
sub_058,981.2000000029802,,983
sub_059,4688.100000000559,,4749
sub_059,3005.7999999998137,,3021
sub_059,2129.800000000745,,2140
sub_059,1505.4000000003725,,1518
sub_059,4031.7999999998137,,4045
sub_059,2141.800000000745,,2155
sub_059,2006.7999999998137,,2018
sub_059,2508.7999999988824,,2520
sub_059,1849.800000000745,,1861
sub_060,4871.399999976158,,4880
sub_060,2285.2999999523163,,2295
sub_060,1238.5,,1248
sub_060,975.8999999761581,,986
sub_060,1083,,1092
sub_060,1278.6000000238419,,1288
sub_060,1449.3000000715256,,1457
sub_060,1596.8000000715256,,1606
sub_060,1438.5,,1447
sub_061,8794,,8802
sub_061,4619,,4624
sub_061,2189,,2195
sub_061,1851,,1857
sub_061,1856,,1863
sub_061,1884,,1890
sub_061,1998,,2005
sub_061,1717,,1724
sub_061,1727,,1733
sub_062,17194.5,"No issue, just very difficult task",17207
sub_062,5101.5,,5105
sub_062,2343.600000023842,,2348
sub_062,9402.300000011921,,9411
sub_062,1916.199999988079,,1923
sub_062,5607.400000035763,,5613
sub_062,57276.799999952316,,57284
sub_062,1914.7000000476837,,1918
sub_062,1826.199999988079,,1835
sub_063,20826.29999999702,no issues.,20829
sub_063,8651.5,no issues,8654
sub_063,4215,no issues,4216
sub_063,3026,,3028
sub_063,1760.7999999970198,,1762
sub_063,2542.7999999970198,,2545
sub_063,1118.5,,1120
sub_063,1132.8999999910593,,1135
sub_063,2455.4000000059605,,2457
sub_064,12468.09999999404,,12472
sub_064,1501.9000000059605,,1507
sub_064,1236.2999999970198,,1241
sub_064,1264.2000000029802,,1269
sub_064,1071.699999988079,,1076
sub_064,1321.2999999970198,,1326
sub_064,1023.5,,1027
sub_064,897.3999999910593,,901
sub_064,1363.9000000059605,,1368
sub_065,3432.5,,3439
sub_065,3664.599999997765,,3670
sub_065,1647.7999999970198,,1653
sub_065,1581.6000000014901,,1587
sub_065,1016.3000000007451,,1021
sub_065,1149.300000000745,,1155
sub_065,1355.8999999985099,,1362
sub_065,1220.300000000745,,1226
sub_065,1185.1000000014901,,1188
sub_066,12292.899999976158,,12312
sub_066,2232.400000035763,,2252
sub_066,1559.699999988079,,1576
sub_066,1300.8999999761581,,1321
sub_066,1055.3999999761581,,1071
sub_066,1725.7000000476837,,1744
sub_066,1780.699999988079,,1800
sub_066,772.3999999761581,,791
sub_066,1327.3999999761581,,1346
sub_067,5825.300000011921,,5836
sub_067,3548.2999999523163,,3556
sub_067,2030.9000000357628,,2037
sub_067,1421.300000011921,,1427
sub_067,2428.300000011921,,2435
sub_067,1206.5,,1213
sub_067,1268.8999999761581,,1274
sub_067,1214.300000011921,,1220
sub_067,1216.8999999761581,,1222
sub_068,9541.40000000596,,9548
sub_068,3185.600000023842,,3189
sub_068,1370.9000000059605,,1374
sub_068,1416.199999988079,,1420
sub_068,1723,,1726
sub_068,1073.0999999940395,,1076
sub_068,1126.800000011921,,1130
sub_068,1045.5999999940395,,1049
sub_068,959.6999999880791,,963
sub_069,11850.400000000023,,11857
sub_069,4296.20000000007,,4302
sub_069,2146.3000000000466,,2152
sub_069,1884.6000000000931,,1891
sub_069,1640.1999999999534,,1646
sub_069,1576.5,,1583
sub_069,1917.5,,1923
sub_069,1583.8999999999069,,1591
sub_069,1151.6999999997206,,1157
sub_070,74071.30000001192,I couldn't click on the final picture.  My mouse froze.,74079
sub_070,94230.79999998212,none,94234
sub_070,93584.40000000596,,93588
sub_070,149745.80000001192,,149750
sub_070,2250.5999999940395,,2255
sub_070,103161.30000001192,,103164
sub_070,6425,,6428
sub_070,128312.90000000596,,128317
sub_070,19888.90000000596,a couple of times I clicked and it didn't recognise that I had clicked.,19891
sub_071,10208.599999999977,,10212
sub_071,5057.5,,5059
sub_071,6483.799999999814,,6486
sub_071,1809.6000000000931,,1811
sub_071,2539.600000000093,,2541
sub_071,1834.1000000000931,,1835
sub_071,1760.8000000002794,,1765
