ptp,counterbalancing,rt,mouse_clientX,mouse_clientY,row,col,correct,pa_center_x,pa_center_y,condition,arrangement,block,block_trial_idx,hidden_pa_img,hidden_pa_img_type,corr_row,corr_col,top_offset,left_offset,time_elapsed,mouse_dist_cb,mouse_error,hidden_pa_img_row_number,hidden_pa_img_row_number_across_blocks,dist_border_l,dist_border_r,dist_border_t,dist_border_b,border_dist_closest,border_dist_summed,display_information.wrapper_arena_position.x,display_information.wrapper_arena_position.y,display_information.wrapper_arena_position.width,display_information.wrapper_arena_position.height,display_information.wrapper_arena_position.top,display_information.wrapper_arena_position.right,display_information.wrapper_arena_position.bottom,display_information.wrapper_arena_position.left,display_information.grid_border_position.x,display_information.grid_border_position.y,display_information.grid_border_position.width,display_information.grid_border_position.height,display_information.grid_border_position.top,display_information.grid_border_position.right,display_information.grid_border_position.bottom,display_information.grid_border_position.left,display_information.grid_box_position.x,display_information.grid_box_position.y,display_information.grid_box_position.width,display_information.grid_box_position.height,display_information.grid_box_position.top,display_information.grid_box_position.right,display_information.grid_box_position.bottom,display_information.grid_box_position.left,display_information.window_scroll_x,display_information.window_scroll_y,display_information.window_innerHeight,display_information.window_innerWidth,display_information.window_outerHeight,display_information.window_outerWidth
sub_001,cb3,1052,664,563,10,7,0,737.7916679382324,265.1250114440918,schema_4_2,1,1,19,img/targets/BOSS/high_familiarity_downsized/cond1/012_nosmokingsign.jpg,,3,9,130,72,111608,371.6666564941406,306.8789974310539,3,3,8,3,2,9,2,5,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,353.66668701171875,131,560,560,131,913.66668701171875,691,353.66668701171875,383.66668701171875,161,500,500,161,883.66668701171875,661,383.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,494.5,648,539,9,8,0,646.1250419616699,400.1250114440918,schema_4_2,1,1,20,img/targets/BOSS/high_familiarity_downsized/cond1/054_bookshelf.jpg,far,6,8,140,22,117119,140.74994659423828,138.88764492945054,3,3,7,4,5,6,4,9,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,303.66668701171875,141,560,560,141,863.66668701171875,701,303.66668701171875,333.66668701171875,171,500,500,171,833.66668701171875,671,333.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,568.2000000001863,573,426,7,4,0,606.1250419616699,424.7916679382324,schema_4_2,1,1,21,img/targets/BOSS/high_familiarity_downsized/cond1/036_table01.jpg,near,7,5,123,107,122703,34.3333740234375,33.14707334492577,4,4,4,7,6,5,4,9,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,388.66668701171875,124,560,560,124,948.66668701171875,684,388.66668701171875,418.66668701171875,154,500,500,154,918.66668701171875,654,418.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,648.2999999998137,598,450,8,7,0,701.7916679382324,222.1250114440918,schema_4_2,1,1,22,img/targets/BOSS/high_familiarity_downsized/cond1/012_nosmokingsign.jpg,,3,9,87,36,128367,331.6666564941406,250.39912288735277,4,4,8,3,2,9,2,5,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,317.66668701171875,88,560,560,88,877.66668701171875,648,317.66668701171875,347.66668701171875,118,500,500,118,847.66668701171875,618,347.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,535.7999999998137,588,466,9,6,0,654.1250419616699,324.1250114440918,schema_4_2,1,1,23,img/targets/BOSS/high_familiarity_downsized/cond1/054_bookshelf.jpg,far,6,8,64,30,133919,208.00003051757812,156.52805995147224,4,4,7,4,5,6,4,9,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,311.66668701171875,65,560,560,65,871.66668701171875,625,311.66668701171875,341.66668701171875,95,500,500,95,841.66668701171875,595,341.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,607.7999999998137,579,468,10,7,0,376.1250114440918,258.4583396911621,schema_4_2,1,1,24,img/targets/BOSS/high_familiarity_downsized/cond1/078_pumpkin.jpg,,5,2,40,2,139543,412.4166488647461,291.6607076493923,4,4,1,10,4,7,1,5,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,283.66668701171875,41,560,560,41,843.66668701171875,601,283.66668701171875,313.66668701171875,71,500,500,71,813.66668701171875,571,313.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,615.1000000005588,535,337,7,4,0,691.1250419616699,306.1250114440918,schema_4_2,1,2,1,img/targets/BOSS/high_familiarity_downsized/cond1/054_bookshelf.jpg,far,6,8,46,67,6233,187.00003051757812,159.1486526674375,1,5,7,4,5,6,4,9,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,348.66668701171875,47,560,560,47,908.66668701171875,607,348.66668701171875,378.66668701171875,77,500,500,77,878.66668701171875,577,378.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,689.4000000003725,614,202,4,6,1,611.7916679382324,198.79166793823242,schema_4_2,1,2,2,img/targets/BOSS/high_familiarity_downsized/cond1/046_redonion.jpg,near,4,6,22,71,11945,5.416664123535156,3.8948844801349938,1,5,5,6,3,8,3,8,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,352.66668701171875,23,560,560,23,912.66668701171875,583,352.66668701171875,382.66668701171875,53,500,500,53,882.66668701171875,553,382.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,798.5,712,370,7,10,0,588.4583549499512,445.1250114440918,schema_4_2,1,2,3,img/targets/BOSS/high_familiarity_downsized/cond1/052_steeringwheel.jpg,far,9,7,60,6,17775,198.66665649414062,144.59012900660673,1,5,6,5,8,3,3,8,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,287.66668701171875,61,560,560,61,847.66668701171875,621,287.66668701171875,317.66668701171875,91,500,500,91,817.66668701171875,591,317.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,804.9000000003725,513,256,4,2,0,654.1250419616699,379.7916679382324,schema_4_2,1,2,4,img/targets/BOSS/high_familiarity_downsized/cond1/036_table01.jpg,near,7,5,78,155,23617,264.91670989990234,187.72494378641505,1,5,4,7,6,5,4,9,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,436.66668701171875,79,560,560,79,996.66668701171875,639,436.66668701171875,466.66668701171875,109,500,500,109,966.66668701171875,609,466.66668701171875,0,0,720,1280,720,1280
