ptp,condition,hidden_pa_img_type,hidden_pa_img_row_number_across_blocks,border_dist_closest,counterbalancing,mouse_error_mean,mouse_error_sd,mouse_error_n,y_hat_three_param,y_hat_two_param
sub_019,schema_2_2,all_pa,5,2,cb4,22.32803889285356,NA,1,NA,NA
sub_019,schema_2_2,all_pa,5,3,cb4,33.55559140798575,2.4986781589692075,2,NA,NA
sub_019,schema_2_2,all_pa,5,4,cb4,159.93254090604094,95.25923932962861,2,NA,NA
sub_019,schema_2_2,all_pa,5,all,cb4,70.97013128762224,81.28977197950664,6,87.47884385543009,87.48364236672028
sub_019,schema_2_2,all_pa,6,1,cb4,23.09350288475703,NA,1,NA,NA
sub_019,schema_2_2,all_pa,6,2,cb4,22.642135959329924,NA,1,NA,NA
sub_019,schema_2_2,all_pa,6,3,cb4,105.35006772677272,73.8166243603044,2,NA,NA
sub_019,schema_2_2,all_pa,6,4,cb4,164.02971999590306,102.98401210923784,2,NA,NA
sub_019,schema_2_2,all_pa,6,all,cb4,97.41586904823976,85.05320610976653,6,71.86272923979581,71.86499342293268
sub_019,schema_2_2,all_pa,7,1,cb4,22.255558305472395,NA,1,NA,NA
sub_019,schema_2_2,all_pa,7,2,cb4,27.273397217816143,NA,1,NA,NA
sub_019,schema_2_2,all_pa,7,3,cb4,30.182261483502273,18.52414149169873,2,NA,NA
sub_019,schema_2_2,all_pa,7,4,cb4,70.70376582695101,22.90067858731972,2,NA,NA
sub_019,schema_2_2,all_pa,7,all,cb4,41.883501690699184,26.081984228758795,6,59.03429476625314,59.03477655890124
sub_019,schema_2_2,all_pa,8,1,cb4,9.159892220341964,NA,1,NA,NA
sub_019,schema_2_2,all_pa,8,2,cb4,32.9110174683309,NA,1,NA,NA
sub_019,schema_2_2,all_pa,8,3,cb4,82.4006051828226,31.560254522590007,2,NA,NA
sub_019,schema_2_2,all_pa,8,4,cb4,32.002167596524394,16.46034620633185,2,NA,NA
